Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_49,Naive B/Memory B,NA,NA,sample,,0.0,,
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.35714285714285715,0.7142857142857143,0.6428571428571429,0.4761904761904762
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.2,0.21428571428571427,0.8,0.20689655172413796
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.6428571428571429
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.6,0.42857142857142855,0.4,0.5
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.2
naiveB_1900_memoryB_49,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,,0.0,,
naiveB_1900_memoryB_49,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.36363636363636365,0.2857142857142857,0.6363636363636364,0.32
naiveB_1900_memoryB_49,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,,0.0,,
naiveB_1900_memoryB_49,Naive B/Memory B,PCA,SVM,PCA_SVM,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.4
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.2857142857142857
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.30769230769230765
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.8,0.2857142857142857,0.2,0.4210526315789473
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,,0.0,,
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.0,0.0,1.0,
naiveB_1900_memoryB_49,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.0,0.0,1.0,
